
2024/07/28 (23:41:15) | ===> btop++ v.1.3.2
2024/07/28 (23:41:15) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/07/28 (23:41:15) | ERROR: Couldn't determine terminal size of "/dev/tty"!

2024/10/03 (21:59:27) | ===> btop++ v.1.4.0
2024/10/03 (21:59:27) | ERROR: Exception during Config::unlock() : unordered_map::at

2024/10/06 (14:24:08) | ===> btop++ v.1.4.0
2024/10/06 (14:24:08) | ERROR: No tty detected!
btop++ needs an interactive shell to run.

2024/12/12 (15:20:47) | ===> btop++ v.1.4.0
2024/12/12 (15:20:47) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/12 (15:21:01) | ===> btop++ v.1.4.0
2024/12/12 (15:21:01) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/22 (23:46:55) | ===> btop++ v.1.4.0
2024/12/22 (23:46:55) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/22 (23:48:21) | ===> btop++ v.1.4.0
2024/12/22 (23:48:21) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/23 (14:30:26) | ===> btop++ v.1.4.0
2024/12/23 (14:30:26) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/23 (22:53:51) | ===> btop++ v.1.4.0
2025/01/23 (22:53:51) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/23 (22:57:16) | ===> btop++ v.1.4.0
2025/01/23 (22:57:16) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/23 (22:57:46) | ===> btop++ v.1.4.0
2025/01/23 (22:57:46) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/24 (11:11:25) | ===> btop++ v.1.4.0
2025/01/24 (11:11:25) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/25 (17:51:02) | ===> btop++ v.1.4.0
2025/01/25 (17:51:02) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/30 (16:24:04) | ===> btop++ v.1.4.0
2025/01/30 (16:24:04) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/01 (20:36:43) | ===> btop++ v.1.4.0
2025/02/01 (20:36:43) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/02 (11:55:06) | ===> btop++ v.1.4.0
2025/02/02 (11:55:06) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/02 (19:02:12) | ===> btop++ v.1.4.0
2025/02/02 (19:02:12) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/12 (11:45:48) | ===> btop++ v.1.4.0
2025/02/12 (11:45:48) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/13 (21:30:34) | ===> btop++ v.1.4.0
2025/02/13 (21:30:34) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/14 (15:59:05) | ===> btop++ v.1.4.0
2025/02/14 (15:59:05) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/14 (16:23:08) | ===> btop++ v.1.4.0
2025/02/14 (16:23:08) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/14 (16:45:47) | ===> btop++ v.1.4.0
2025/02/14 (16:45:47) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/14 (17:42:22) | ===> btop++ v.1.4.0
2025/02/14 (17:42:22) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/14 (19:01:24) | ===> btop++ v.1.4.0
2025/02/14 (19:01:24) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/14 (19:01:36) | ===> btop++ v.1.4.0
2025/02/14 (19:01:36) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/16 (19:00:33) | ===> btop++ v.1.4.0
2025/02/16 (19:00:33) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/16 (19:02:09) | ===> btop++ v.1.4.0
2025/02/16 (19:02:09) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/16 (19:04:47) | ===> btop++ v.1.4.0
2025/02/16 (19:04:47) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/27 (15:53:13) | ===> btop++ v.1.4.0
2025/02/27 (15:53:13) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/03 (18:30:28) | ===> btop++ v.1.4.0
2025/03/03 (18:30:28) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/03 (18:31:57) | ===> btop++ v.1.4.0
2025/03/03 (18:31:57) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/04 (11:48:58) | ===> btop++ v.1.4.0
2025/03/04 (11:48:58) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/04 (11:52:38) | ===> btop++ v.1.4.0
2025/03/04 (11:52:38) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/11 (21:21:39) | ===> btop++ v.1.4.0
2025/03/11 (21:21:39) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/11 (22:07:00) | ===> btop++ v.1.4.0
2025/03/11 (22:07:00) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/12 (15:50:40) | ===> btop++ v.1.4.0
2025/03/12 (15:50:40) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/31 (21:30:20) | ===> btop++ v.1.4.0
2025/03/31 (21:30:20) | WARNING: Failed to join _runner thread on exit!

2025/04/01 (14:42:45) | ===> btop++ v.1.4.0
2025/04/01 (14:42:45) | WARNING: Intel GPU: Failed to initialize PMU
